timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701842619508,7957,TaagaMan,200,OK,Thread Group 1-60,text,true,,491996,131,43,43,https://www.aarong.com/brand/taaga-man,419,0,0
1701842614336,13159,Taaga,200,OK,Thread Group 1-6,text,true,,498904,127,42,42,https://www.aarong.com/brand/taaga,2008,0,0
1701842620483,7068,TaagaMan,200,OK,Thread Group 1-20,text,true,,491996,131,42,42,https://www.aarong.com/brand/taaga-man,1687,0,0
1701842621342,6418,Taaga,200,OK,Thread Group 1-50,text,true,,498904,127,41,41,https://www.aarong.com/brand/taaga,899,0,0
1701842621198,6714,TaagaMan,200,OK,Thread Group 1-49,text,true,,491996,131,41,41,https://www.aarong.com/brand/taaga-man,420,0,0
1701842615532,12432,TaagaMan,200,OK,Thread Group 1-18,text,true,,491996,131,40,40,https://www.aarong.com/brand/taaga-man,1414,0,0
1701842613967,14299,Taaga,200,OK,Thread Group 1-13,text,true,,498904,127,39,39,https://www.aarong.com/brand/taaga,981,0,0
1701842618890,9493,Taaga,200,OK,Thread Group 1-48,text,true,,498904,127,39,39,https://www.aarong.com/brand/taaga,1436,0,0
1701842610019,18557,Taaga,200,OK,Thread Group 1-46,text,true,,498904,127,39,39,https://www.aarong.com/brand/taaga,2872,0,0
1701842624344,4287,TaagaMan,200,OK,Thread Group 1-9,text,true,,491996,131,39,39,https://www.aarong.com/brand/taaga-man,554,0,0
1701842622272,6428,TaagaMan,200,OK,Thread Group 1-32,text,true,,491996,131,38,38,https://www.aarong.com/brand/taaga-man,467,0,0
1701842624272,4563,TaagaMan,200,OK,Thread Group 1-8,text,true,,491996,131,37,37,https://www.aarong.com/brand/taaga-man,483,0,0
1701842612299,16672,Taaga,200,OK,Thread Group 1-31,text,true,,498904,127,36,36,https://www.aarong.com/brand/taaga,410,0,0
1701842622687,6287,TaagaMan,200,OK,Thread Group 1-69,text,true,,491996,131,36,36,https://www.aarong.com/brand/taaga-man,419,0,0
1701842619208,9836,TaagaMan,200,OK,Thread Group 1-63,text,true,,491996,131,35,35,https://www.aarong.com/brand/taaga-man,399,0,0
1701842622529,6610,TaagaMan,200,OK,Thread Group 1-42,text,true,,491996,131,34,34,https://www.aarong.com/brand/taaga-man,455,0,0
1701842619408,9970,TaagaMan,200,OK,Thread Group 1-29,text,true,,491996,131,33,33,https://www.aarong.com/brand/taaga-man,445,0,0
1701842620236,9182,TaagaMan,200,OK,Thread Group 1-45,text,true,,491996,131,32,32,https://www.aarong.com/brand/taaga-man,1588,0,0
1701842622167,7423,TaagaMan,200,OK,Thread Group 1-52,text,true,,491996,131,31,31,https://www.aarong.com/brand/taaga-man,470,0,0
1701842626779,3069,Taaga,200,OK,Thread Group 1-35,text,true,,498904,127,30,30,https://www.aarong.com/brand/taaga,464,0,0
1701842624298,5556,TaagaMan,200,OK,Thread Group 1-21,text,true,,491996,131,30,30,https://www.aarong.com/brand/taaga-man,520,0,0
1701842622168,7746,TaagaMan,200,OK,Thread Group 1-68,text,true,,491996,131,29,29,https://www.aarong.com/brand/taaga-man,497,0,0
1701842624548,5417,TaagaMan,200,OK,Thread Group 1-24,text,true,,491996,131,28,28,https://www.aarong.com/brand/taaga-man,599,0,0
1701842627290,2682,TaagaMan,200,OK,Thread Group 1-61,text,true,,491997,131,27,27,https://www.aarong.com/brand/taaga-man,404,0,0
1701842615310,14697,TaagaMan,200,OK,Thread Group 1-5,text,true,,491996,131,26,26,https://www.aarong.com/brand/taaga-man,607,0,0
1701842625343,4726,TaagaMan,200,OK,Thread Group 1-16,text,true,,491997,131,25,25,https://www.aarong.com/brand/taaga-man,648,0,0
1701842623463,6678,TaagaMan,200,OK,Thread Group 1-37,text,true,,491996,131,24,24,https://www.aarong.com/brand/taaga-man,497,0,0
1701842609809,20332,Taaga,200,OK,Thread Group 1-23,text,true,,498904,127,24,24,https://www.aarong.com/brand/taaga,5360,0,0
1701842617214,13065,TaagaMan,200,OK,Thread Group 1-3,text,true,,491996,131,23,23,https://www.aarong.com/brand/taaga-man,460,0,0
1701842618581,11841,TaagaMan,200,OK,Thread Group 1-57,text,true,,491996,131,22,22,https://www.aarong.com/brand/taaga-man,433,0,0
1701842624256,6239,TaagaMan,200,OK,Thread Group 1-14,text,true,,491996,131,21,21,https://www.aarong.com/brand/taaga-man,481,0,0
1701842627098,3617,TaagaMan,200,OK,Thread Group 1-47,text,true,,491997,131,20,20,https://www.aarong.com/brand/taaga-man,435,0,0
1701842628266,2752,TaagaMan,200,OK,Thread Group 1-13,text,true,,491997,131,19,19,https://www.aarong.com/brand/taaga-man,456,0,0
1701842623852,7183,TaagaMan,200,OK,Thread Group 1-30,text,true,,491996,131,18,18,https://www.aarong.com/brand/taaga-man,530,0,0
1701842627081,4027,TaagaMan,200,OK,Thread Group 1-64,text,true,,491997,131,17,17,https://www.aarong.com/brand/taaga-man,1704,0,0
1701842628576,2651,TaagaMan,200,OK,Thread Group 1-46,text,true,,491997,131,16,16,https://www.aarong.com/brand/taaga-man,676,0,0
1701842621406,9871,TaagaMan,200,OK,Thread Group 1-19,text,true,,491996,131,15,15,https://www.aarong.com/brand/taaga-man,462,0,0
1701842620002,11311,TaagaMan,200,OK,Thread Group 1-36,text,true,,491996,131,14,14,https://www.aarong.com/brand/taaga-man,450,0,0
1701842625476,5875,TaagaMan,200,OK,Thread Group 1-12,text,true,,491997,131,13,13,https://www.aarong.com/brand/taaga-man,656,0,0
1701842613155,18250,Taaga,200,OK,Thread Group 1-28,text,true,,498904,127,12,12,https://www.aarong.com/brand/taaga,6856,0,0
1701842628384,3038,TaagaMan,200,OK,Thread Group 1-48,text,true,,491997,131,12,12,https://www.aarong.com/brand/taaga-man,435,0,0
1701842627496,4156,TaagaMan,200,OK,Thread Group 1-6,text,true,,491997,131,11,11,https://www.aarong.com/brand/taaga-man,460,0,0
1701842624256,7405,TaagaMan,200,OK,Thread Group 1-40,text,true,,491996,131,10,10,https://www.aarong.com/brand/taaga-man,2157,0,0
1701842621463,10262,TaagaMan,200,OK,Thread Group 1-26,text,true,,491996,131,9,9,https://www.aarong.com/brand/taaga-man,1779,0,0
1701842628971,2785,TaagaMan,200,OK,Thread Group 1-31,text,true,,491997,131,8,8,https://www.aarong.com/brand/taaga-man,309,0,0
